OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,1303,991,294,614,319,360,106,591,519,217
+,397,672,493,229,867,110,358,865,569,376
+,386,780,285,587,231,826,439,865,574,997
+,549,838,636,628,691,658,570,26,623,951
+,597,849,710,273,29,184,279,719,780,316
+,1113,347,359,6,185,890,146,579,673,410
+,1365,145,758,648,995,31,93,764,543,220
+,134,429,464,349,161,378,319,738,332,795
+,1117,581,610,86,904,53,159,161,772,632
+,1164,690,83,278,453,677,434,497,621,452
+,213,279,220,773,524,116,353,440,113,290
+,1181,694,607,498,539,683,315,46,225,404
+,789,56,7,209,308,968,216,785,140,782
+,760,296,335,122,7,509,764,440,179,132
+,510,545,720,235,512,572,853,684,825,362
+,444,406,882,759,43,446,19,470,943,79
+,705,320,589,439,587,414,726,655,427,296
+,1007,414,21,989,332,175,820,970,632,471
+,785,706,941,370,90,447,864,108,249,446
+,632,410,536,80,405,891,317,763,347,226
+,1425,797,172,78,522,648,116,543,522,198
+,550,794,357,359,744,981,838,660,834,151
+,68,105,149,262,202,177,616,156,778,777
+,1349,77,181,974,791,643,505,475,772,577
+,558,593,459,697,946,903,578,658,650,639
+,762,884,994,642,323,154,450,69,480,452
+,1289,310,815,281,605,57,360,519,75,317
+,640,462,38,58,377,851,293,78,660,884
+,133,875,92,629,608,519,393,473,594,567
+,315,810,756,917,42,460,930,829,585,667
+,346,329,619,487,513,154,980,63,461,105
+,373,920,857,351,731,86,516,661,176,40
+,294,724,448,449,536,535,624,162,372,381
+,1441,289,396,418,793,346,695,612,53,808
+,526,662,342,67,337,96,571,694,395,290
+,1212,741,872,672,987,928,617,894,153,341
+,1062,596,679,144,938,358,317,990,671,715
+,383,401,132,609,725,960,86,317,572,385
+,1082,810,336,832,130,686,719,848,969,756
+,701,934,539,95,661,686,433,520,370,18
+,405,316,184,973,219,349,970,784,497,196
+,876,140,158,79,302,864,807,103,519,789
+,1409,855,756,904,539,38,677,344,897,784
+,434,134,611,385,157,166,185,851,709,789
+,1008,828,924,169,738,448,44,420,373,692
+,1168,243,992,454,625,291,770,766,802,459
+,391,546,244,316,988,828,803,480,925,855
+,297,376,694,969,584,451,472,787,288,796
+,157,514,540,428,989,165,836,204,820,619
+,933,893,256,53,656,492,895,380,567,956
+,1122,728,866,528,871,127,291,85,781,164
+,879,460,927,525,150,850,447,93,969,932
+,182,836,461,905,357,952,27,424,54,405
+,1357,382,241,395,83,383,229,28,326,953
+,513,859,731,665,343,810,149,140,39,293
+,1229,849,483,712,851,142,777,722,480,459
+,374,5,927,81,19,262,220,855,153,561
+,1141,744,623,540,433,113,794,295,243,308
+,307,48,244,429,654,812,637,468,64,113
+,927,926,511,611,548,16,647,527,588,247
+,491,147,298,439,1,629,361,246,584,426
+,1319,680,684,87,536,998,369,69,976,538
+,722,519,805,519,567,20,399,894,481,44
+,1401,396,382,259,765,16,365,807,69,353
+,98,750,672,643,106,790,595,752,774,340
